ID,Filename,spk_code,spk_age,spk_age_c,spk_sex,rec_date,rec_date_c,genre,genre_stim,gloss,transl,sound_quality,background_noise,word_tokens,extended,Glottocode
anal1239_T011,doreco_anal1239_anm_20160220_Mohtung_PO_15,Mohtung,100,certain,m,2016-02-20,certain,traditional narrative,na,none,English,medium,none,96,no,anal1239
anal1239_T012,doreco_anal1239_anm_20160220_Ngahring_Folkflore_53,Ngahring,80,certain,m,2015-12-02,certain,traditional narrative,na,none,English,medium,punctual,1117,no,anal1239
anal1239_T013,doreco_anal1239_anm_20160220_Ngahring_PO_52,Ngahring,80,certain,m,2015-12-02,certain,traditional narrative,na,none,English,bad,punctual,812,no,anal1239
anal1239_T014,doreco_anal1239_anm_20160220_Thumri_PO_1,Thumri,76,certain,f,2016-02-20,certain,traditional narrative,na,none,English,medium,constant,1525,no,anal1239
anal1239_T015,doreco_anal1239_anm_20160221_Pethun_1_folk_story,Pethun,60,certain,f,2016-02-21,certain,traditional narrative,na,none,English,medium,none,161,no,anal1239
anal1239_T016,doreco_anal1239_anm_20160221_Sharingla_PO_1,Sharingla,44,certain,f,2016-02-21,certain,traditional narrative,na,none,English,medium,constant,683,no,anal1239
anal1239_T017,doreco_anal1239_anm_20160221_Tohnuwng_PO_5_threshing_tunes,Tohnuwng,84,certain,f,2016-02-21,certain,traditional narrative,na,none,English,medium,punctual,82,no,anal1239
anal1239_T018,doreco_anal1239_anm_20160227_Thumhring_Thangwar_2,Thumhring,79,certain,f,2016-02-27,certain,traditional narrative,na,none,English,good,punctual,601,no,anal1239
anal1239_T019,doreco_anal1239_anm_20160227_Thungno_Jalngam_2_Tingkingtingtang,Thungno,74,certain,m,2016-02-27,certain,traditional narrative,na,none,English,good,none,338,no,anal1239
anal1239_T020,doreco_anal1239_anm_20160318_ThSt_Thumhring_1_folk_story,Thumhring,79,certain,f,2016-03-18,certain,traditional narrative,na,none,English,good,none,314,no,anal1239
anal1239_T021,doreco_anal1239_anm_20160318_Thst_Thumhring_Thangwar_2_folk_story,Thumhring,79,certain,f,2016-03-18,certain,traditional narrative,na,none,English,medium,punctual,1201,no,anal1239
anal1239_T022,doreco_anal1239_anm_20160924_Thotson_grandmothers_1,Hringvel/Shanghnim,76/67,certain,f/f,2016-09-24,certain,conversation,na,none,English,bad,punctual,294,no,anal1239
anal1239_T023,doreco_anal1239_anm_20161014_PO_Ralruwng_cooking_2,Angkam/Damhring,51/58,certain,f/m,2016-10-14,certain,conversation,na,none,English,bad,constant,596,no,anal1239
apah1238_T001,doreco_apah1238_about_Kris_1a,Hermina,33,approximate,f,2017-10-08,certain,personal narrative,na,break/gloss,English/Indonesian,good,none,158,no,apah1238
apah1238_T002,doreco_apah1238_frog_story_Silpa_Fince,Slipa,30,approximate,f,2014-08-12,certain,stimulus retelling,frog story,break/gloss,English/Indonesian,medium,constant,918,no,apah1238
apah1238_T003,doreco_apah1238_interview_IP_Ware,Ware,35,approximate,m,2013-03-05,certain,personal narrative,na,break/gloss,English/Indonesian,bad,constant,4511,no,apah1238
apah1238_T004,doreco_apah1238_pear_story_Lince,Lince,35,approximate,f,2017-10-09,certain,stimulus retelling,pear story,break/gloss,English/Indonesian,good,none,248,no,apah1238
apah1238_T005,doreco_apah1238_pear_story_Marthen_b,Marthen,35,approximate,m,2017-10-17,certain,stimulus retelling,pear story,break/gloss,English/Indonesian,middle,constant,218,no,apah1238
apah1238_T006,doreco_apah1238_pear_story_Stefen_b,Stefen,30,approximate,m,2017-10-17,certain,stimulus retelling,pear story,break/gloss,English/Indonesian,bad,constant,252,no,apah1238
apah1238_T007,doreco_apah1238_TGB_Firaon_Yoas_2-15,Yoas/Firaon,30/35,approximate,m/m,2014-08-11,certain,conversation,na,break/gloss,English/Indonesian,medium,constant,777,no,apah1238
apah1238_T008,doreco_apah1238_TGB_Fedrik_Sadrak_2-13,Sadrak/Fedrik,30/30,approximate,m/m,2014-08-09,certain,conversation,na,break/gloss,English/Indonesian,middle,constant,713,yes,apah1238
apah1238_T009,doreco_apah1238_TGB_Kris_Daud_1-14,Kris/Daud,30/30,approximate,m/f,2014-08-08,certain,conversation,na,break/gloss,English/Indonesian,middle,constant,736,yes,apah1238
apah1238_T010,doreco_apah1238_TGB_Kris_Daud_13-2,Kris/Daud,30/30,approximate,m/f,2014-08-08,certain,conversation,na,break/gloss,English/Indonesian,good,constant,1268,yes,apah1238
apah1238_T011,doreco_apah1238_TGB_Nelson_Edi_2-12,Nelson/Edi,35/35,approximate,m/m,2014-08-08,certain,conversation,na,break/gloss,English/Indonesian,bad,constant,392,no,apah1238
arap1274_T001,doreco_arap1274_6,35,70,approximate,m,2005,approximate,traditional narrative,na,all,English,bad,constant,1687,no,arap1274
arap1274_T009,doreco_arap1274_20_Crawford,55,68,approximate,m,2005,approximate,personal narrative,na,all,English,bad,constant,90,no,arap1274
arap1274_T011,doreco_arap1274_32b,45,80,approximate,m,2005,approximate,personal narrative,na,all,English,good,constant,266,no,arap1274
arap1274_T012,doreco_arap1274_32c,45,80,approximate,m,2005,approximate,personal narrative,na,all,English,good,constant,122,no,arap1274
arap1274_T015,doreco_arap1274_78a,40,72,approximate,m,2005,approximate,traditional narrative,na,all,English,medium,punctual,681,no,arap1274
arap1274_T018,doreco_arap1274_92a,40,72,approximate,m,2005,approximate,personal narrative,na,all,English,good,none,369,no,arap1274
arap1274_T019,doreco_arap1274_92b,40,72,approximate,m,2005,approximate,personal narrative,na,all,English,good,none,345,no,arap1274
arap1274_T020,doreco_arap1274_92c,40,72,approximate,m,2005,approximate,personal narrative,na,all,English,good,none,323,no,arap1274
arap1274_T021,doreco_arap1274_92d,40,72,approximate,m,2005,approximate,personal narrative,na,all,English,good,none,359,no,arap1274
arap1274_T022,doreco_arap1274_92e,40,72,approximate,m,2005,approximate,personal narrative,na,all,English,good,none,343,no,arap1274
arap1274_T023,doreco_arap1274_92f,40,72,approximate,m,2005,approximate,conversation,na,all,English,good,punctual,161,no,arap1274
arap1274_T003,doreco_arap1274_10,36,75,approximate,m,2005,approximate,traditional narrative,na,all,English,bad,none,112,yes,arap1274
arap1274_T004,doreco_arap1274_15_speech_part_1,33,75,approximate,m,2005,approximate,personal narrative,na,all,English,bad,none,417,yes,arap1274
arap1274_T005,doreco_arap1274_15_speech_part_2,33,75,approximate,m,2005,approximate,personal narrative,na,all,English,bad,punctual,543,yes,arap1274
arap1274_T006,doreco_arap1274_15captive,33,75,approximate,m,2005,approximate,traditional narrative,na,all,English,medium,constant,556,yes,arap1274
arap1274_T010,doreco_arap1274_20_Nelson,56,75,approximate,m,2005,approximate,personal narrative,na,all,English,bad,constant,233,yes,arap1274
arap1274_T013,doreco_arap1274_35c,6,75,approximate,m,2005,approximate,traditional narrative,na,all,English,bad,constant,446,yes,arap1274
arap1274_T014,doreco_arap1274_35d,6,75,approximate,m,2005,approximate,traditional narrative,na,all,English,bad,constant,545,yes,arap1274
arap1274_T002,doreco_arap1274_7a,35,70,approximate,m,2005,approximate,traditional narrative,na,all,English,bad,constant,2072,yes,arap1274
arap1274_T007,doreco_arap1274_15_eagles,35,70,approximate,m,2005,approximate,traditional narrative,na,all,English,bad,constant,322,yes,arap1274
arap1274_T008,doreco_arap1274_15_secondthought,35,70,approximate,m,2005,approximate,traditional narrative,na,all,English,bad,constant,415,yes,arap1274
bain1259_T001,doreco_bain1259_DJI041109AC,HS,45,certain,f,2009,certain,procedural,na,break/gloss,English/French,medium,punctual,948,yes,bain1259
bain1259_T002,doreco_bain1259_DJI070211AC,CS,66,certain,m,2011,certain,traditional narrative,na,break/gloss,English/French,good,punctual,397,no,bain1259
bain1259_T003,doreco_bain1259_DJI070211AC2,CS,66,certain,m,2011,certain,procedural,na,break/gloss,English/French,good,punctual,342,no,bain1259
bain1259_T004,doreco_bain1259_DJI070211AC3,CS,66,certain,m,2011,certain,procedural,na,break/gloss,English/French,good,punctual,212,no,bain1259
bain1259_T005,doreco_bain1259_DJI101010AC1,BS,20,certain,f,2010,certain,traditional narrative,na,break/gloss,English/French,good,constant,295,no,bain1259
bain1259_T006,doreco_bain1259_DJI101010AC2,BS,20,certain,f,2010,certain,traditional narrative,na,break/gloss,English/French,good,constant,1224,no,bain1259
bain1259_T007,doreco_bain1259_DJI101210AC2,JS,70,approximate,m,2010,certain,procedural,na,none,French,good,constant,608,no,bain1259
bain1259_T008,doreco_bain1259_DJI101210AC3,JS,70,approximate,m,2010,certain,procedural,na,break/gloss,English/French,good,constant,194,no,bain1259
bain1259_T009,doreco_bain1259_DJI121109AC,AB/AS,61/65,certain/certain,m/m,2009,certain,conversation,na,break/gloss,English/French,good,constant,493,no,bain1259
bain1259_T010,doreco_bain1259_DJI121109AC2,AB,61,certain,m,2009,certain,traditional narrative,na,break/gloss,English/French,good,constant,245,no,bain1259
bain1259_T011,doreco_bain1259_DJI121109AC3,AB,61,certain,m,2009,certain,procedural,na,break/gloss,English/French,good,constant,195,no,bain1259
bain1259_T012,doreco_bain1259_DJI211110AC,JS,70,approximate,m,2010,certain,procedural,na,none,English/French,medium,constant,1736,no,bain1259
bain1259_T013,doreco_bain1259_DJI230111AC3,AKS/EC,67/76,certain/certain,m/m,2011,certain,conversation,na,break/gloss,English/French,good,punctual,452,no,bain1259
bain1259_T014,doreco_bain1259_DJI240211AC,AJB/LM,78/37,certain/certain,f/m,2011,certain,conversation,na,none,French,good,constant,1409,no,bain1259
bain1259_T015,doreco_bain1259_DJI240211AC2,AJB/LM,78/37,certain/certain,f/m,2011,certain,conversation,na,break/gloss,English/French,bad,constant,620,no,bain1259
bain1259_T016,doreco_bain1259_DJI240211AC3,LM,37,certain,m,2011,certain,traditional narrative,na,break/gloss,English/French,good,constant,546,no,bain1259
bain1259_T017,doreco_bain1259_DJI291014AC,CS,69,certain,m,2014,certain,traditional narrative,na,break/gloss,English/French,good,constant,1344,no,bain1259
bain1259_T018,doreco_bain1259_DJIPecheLM,LM,37,approximate,m,2011,approximate,procedural,na,break/gloss,English/French,medium,constant,1165,no,bain1259
beja1238_T001,doreco_beja1238_BEJ_MV_CONV_01_RICH,MA/AH,49/35,certain/certain,m/m,2011-02-03,certain,conversation,na,all,English,medium,punctual,932,no,beja1238
beja1238_T002,doreco_beja1238_BEJ_MV_NARR_01_SHELTER,AA,40,certain,m,2007-12-25,certain,traditional narrative,na,all,English,good,none,249,no,beja1238
beja1238_T003,doreco_beja1238_BEJ_MV_NARR_02_farmer,AA,40,certain,m,2007-02-04,certain,traditional narrative,na,all,English,good,constant,538,no,beja1238
beja1238_T004,doreco_beja1238_BEJ_MV_NARR_03_camel,AA,40,certain,m,2007-12-30,certain,personal narrative,na,all,English,good,none,394,no,beja1238
beja1238_T005,doreco_beja1238_BEJ_MV_NARR_04_djinn,AA,40,certain,m,2006-02-08,certain,personal narrative,na,all,English,medium,constant,249,no,beja1238
beja1238_T006,doreco_beja1238_BEJ_MV_NARR_05_eritrea,AA,40,certain,m,2003-02-10,certain,traditional narrative,na,all,English,good,constant,710,no,beja1238
beja1238_T007,doreco_beja1238_BEJ_MV_NARR_06_foreigner,AA,40,certain,m,2007-12-25,certain,traditional narrative,na,all,English,good,punctual,108,no,beja1238
beja1238_T008,doreco_beja1238_BEJ_MV_NARR_07_cold,AA,40,certain,m,2007-12-25,certain,traditional narrative,na,all,English,good,none,135,no,beja1238
beja1238_T009,doreco_beja1238_BEJ_MV_NARR_08_drunkard,AA,40,certain,m,2007-12-25,certain,traditional narrative,na,all,English,good,none,342,no,beja1238
beja1238_T010,doreco_beja1238_BEJ_MV_NARR_09_jewel,AA,40,certain,m,2007-12-25,certain,traditional narrative,na,all,English,good,none,113,no,beja1238
beja1238_T011,doreco_beja1238_BEJ_MV_NARR_10_rabbit,AA,40,certain,m,2007-12-25,certain,traditional narrative,na,all,English,good,none,112,no,beja1238
beja1238_T012,doreco_beja1238_BEJ_MV_NARR_11_coffee,AA,40,certain,m,2005-02-08,certain,traditional narrative,na,all,English,good,constant,55,no,beja1238
beja1238_T013,doreco_beja1238_BEJ_MV_NARR_12_witch,A,55,certain,m,2005-02-08,certain,traditional narrative,na,all,English,good,constant,286,no,beja1238
beja1238_T014,doreco_beja1238_BEJ_MV_NARR_13_grave,AA,40,certain,m,2007-12-28,certain,traditional narrative,na,all,English,good,none,189,no,beja1238
beja1238_T015,doreco_beja1238_BEJ_MV_NARR_14_sijadok,AA,40,certain,m,2007-12-25,certain,traditional narrative,na,all,English,good,none,541,no,beja1238
beja1238_T016,doreco_beja1238_BEJ_MV_NARR_15_leopard,AA,40,certain,m,2007-12-25,certain,traditional narrative,na,all,English,good,none,190,no,beja1238
beja1238_T017,doreco_beja1238_BEJ_MV_NARR_16_Prophet_Fox_Crow,AA,40,certain,m,2005-02-18,certain,traditional narrative,na,all,English,good,none,498,no,beja1238
beja1238_T018,doreco_beja1238_BEJ_MV_NARR_17_shoemaker,AA,40,certain,m,2006-02-05,certain,traditional narrative,na,all,English,good,none,479,no,beja1238
beja1238_T019,doreco_beja1238_BEJ_MV_NARR_18_Adam_devil,AA,40,certain,m,2006-02-05,certain,traditional narrative,na,all,English,good,constant,562,no,beja1238
beja1238_T020,doreco_beja1238_BEJ_MV_NARR_19_POISON,MA,49,certain,m,2011-01-25,certain,traditional narrative,na,all,English,good,none,83,no,beja1238
beja1238_T021,doreco_beja1238_BEJ_MV_NARR_20_SMART,MA,49,certain,m,2011-01-24,certain,traditional narrative,na,all,English,medium,none,78,no,beja1238
beja1238_T022,doreco_beja1238_BEJ_MV_NARR_21_BASHKAL,MA,49,certain,m,2011-01-29,certain,personal narrative,na,all,English,good,none,109,no,beja1238
beja1238_T023,doreco_beja1238_BEJ_MV_NARR_22_HIDE-AND-SEEK,MA,49,certain,m,2011-01-29,certain,personal narrative,na,all,English,good,none,86,no,beja1238
beja1238_T024,doreco_beja1238_BEJ_MV_NARR_23_LEZARD,MA,49,certain,m,2011-01-25,certain,traditional narrative,na,all,English,good,none,206,no,beja1238
beja1238_T025,doreco_beja1238_BEJ_MV_NARR_24_CHIEF,AH,35,certain,m,2011-01-25,certain,traditional narrative,na,all,English,good,punctual,187,no,beja1238
beja1238_T026,doreco_beja1238_BEJ_MV_NARR_25_ORPHAN,AH,35,certain,m,2011-01-25,certain,traditional narrative,na,all,English,good,none,688,no,beja1238
beja1238_T027,doreco_beja1238_BEJ_MV_NARR_26_POOR,AH,35,certain,m,2011-01-25,certain,traditional narrative,na,all,English,good,none,350,no,beja1238
beja1238_T028,doreco_beja1238_BEJ_MV_NARR_27_GOAT,AH,35,certain,m,2011-01-27,certain,personal narrative,na,all,English,good,punctual,283,no,beja1238
beja1238_T029,doreco_beja1238_BEJ_MV_NARR_28_PEAR1,AH,35,certain,m,2011-01-29,certain,stimulus retelling,pear story,all,English,good,punctual,125,no,beja1238
beja1238_T030,doreco_beja1238_BEJ_MV_NARR_29_PEAR2,AH,35,certain,m,2011-01-30,certain,stimulus retelling,pear story,all,English,good,none,297,no,beja1238
beja1238_T031,doreco_beja1238_BEJ_MV_NARR_30_QUARREL,AH,35,certain,m,2011-01-25,certain,traditional narrative,na,all,English,good,none,176,no,beja1238
beja1238_T032,doreco_beja1238_BEJ_MV_NARR_31_KING,AH,35,certain,m,2011-01-25,certain,traditional narrative,na,all,English,good,none,131,no,beja1238
beja1238_T033,doreco_beja1238_BEJ_MV_NARR_32_MEAT,AH,35,certain,m,2011-01-25,certain,traditional narrative,na,all,English,good,none,40,no,beja1238
beja1238_T034,doreco_beja1238_BEJ_MV_NARR_33_TEETH,MA,49,certain,m,2006-12-21,certain,traditional narrative,na,all,English,good,constant,128,no,beja1238
beja1238_T035,doreco_beja1238_BEJ_MV_NARR_34_DONKEYMAN,MA,49,certain,m,2006-02-07,certain,traditional narrative,na,all,English,good,constant,115,no,beja1238
beja1238_T036,doreco_beja1238_BEJ_MV_NARR_35_HYENA-DJINNS,MA,49,certain,m,2006-02-07,certain,traditional narrative,na,all,English,good,constant,154,no,beja1238
beja1238_T037,doreco_beja1238_BEJ_MV_NARR_36_HUNCHBACK,ZH,40,certain,f,2006-02-07,certain,traditional narrative,na,all,English,good,constant,978,no,beja1238
beja1238_T038,doreco_beja1238_BEJ_MV_NARR_37_Abu_Fatna,MA,49,certain,m,2006-02-08,certain,traditional narrative,na,all,English,good,none,165,no,beja1238
beja1238_T039,doreco_beja1238_BEJ_MV_NARR_38_ostrich,MA,49,certain,m,2006-02-08,certain,traditional narrative,na,all,English,good,constant,206,no,beja1238
beja1238_T040,doreco_beja1238_BEJ_MV_NARR_39_Bafalib,MA,49,certain,m,2006-02-08,certain,traditional narrative,na,all,English,good,constant,76,no,beja1238
beja1238_T041,doreco_beja1238_BEJ_MV_NARR_40_camel_hyena,MA,49,certain,m,2006-02-10,certain,traditional narrative,na,all,English,good,constant,171,no,beja1238
beja1238_T042,doreco_beja1238_BEJ_MV_NARR_41_emirab_leopard,MA,49,certain,m,2006-02-10,certain,traditional narrative,na,all,English,good,constant,158,no,beja1238
beja1238_T043,doreco_beja1238_BEJ_MV_NARR_42_hunter_bread,MA,49,certain,m,2006-02-10,certain,traditional narrative,na,all,English,good,constant,238,no,beja1238
beja1238_T044,doreco_beja1238_BEJ_MV_NARR_43_hyena_man,AH,35,certain,m,2006-02-11,certain,traditional narrative,na,all,English,good,constant,165,no,beja1238
beja1238_T045,doreco_beja1238_BEJ_MV_NARR_44_Musa_meat,MA,49,certain,m,2006-02-11,certain,traditional narrative,na,all,English,good,constant,155,no,beja1238
beja1238_T046,doreco_beja1238_BEJ_MV_NARR_45_bank_robbers,MA,49,certain,m,2006-02-12,certain,traditional narrative,na,all,English,medium,constant,137,no,beja1238
beja1238_T047,doreco_beja1238_BEJ_MV_NARR_46_tirik,MA,49,certain,m,2006-02-13,certain,traditional narrative,na,all,English,medium,constant,208,no,beja1238
beja1238_T048,doreco_beja1238_BEJ_MV_NARR_47_death_angel,A,55,certain,f,2006-02-08,certain,traditional narrative,na,all,English,good,none,272,no,beja1238
beja1238_T049,doreco_beja1238_BEJ_MV_NARR_48_milk,MA,49,certain,m,2006-02-13,certain,personal narrative,na,all,English,good,constant,160,no,beja1238
beja1238_T050,doreco_beja1238_BEJ_MV_NARR_49_well,MA,49,certain,m,2006-02-13,certain,traditional narrative,na,all,English,good,constant,176,no,beja1238
beja1238_T051,doreco_beja1238_BEJ_MV_NARR_50_fox_hunt,MA,49,certain,m,2006-02-14,certain,personal narrative,na,all,English,medium,none,392,no,beja1238
beja1238_T052,doreco_beja1238_BEJ_MV_NARR_51_camel_stallion,MA,49,certain,m,2005-01-28,certain,traditional narrative,na,all,English,good,none,693,no,beja1238
beja1238_T053,doreco_beja1238_BEJ_MV_NARR_52_Akeduli,MA,49,certain,m,2005-01-28,certain,traditional narrative,na,all,English,good,none,105,no,beja1238
beja1238_T054,doreco_beja1238_BEJ_MV_NARR_53_pregnant_man,MA,49,certain,m,2005-01-28,certain,traditional narrative,na,all,English,good,constant,82,no,beja1238
beja1238_T055,doreco_beja1238_BEJ_MV_NARR_54_AA_gazelle,MA,49,certain,m,2005-01-30,certain,traditional narrative,na,all,English,good,constant,37,no,beja1238
beja1238_T056,doreco_beja1238_BEJ_MV_NARR_55_tandooj,MA,49,certain,m,2005-02-02,certain,personal narrative,na,all,English,good,none,165,no,beja1238
beja1238_T057,doreco_beja1238_BEJ_MV_NARR_56_dove,MA,49,certain,m,2005-01-31,certain,traditional narrative,na,all,English,good,constant,300,no,beja1238
beja1238_T058,doreco_beja1238_BEJ_MV_NARR_57_Ababda,MA,49,certain,m,2005-01-31,certain,traditional narrative,na,all,English,good,constant,482,no,beja1238
bora1263_T003,doreco_bora1263_aakityeMM1,MM,55,certain,m,2008-03-18,certain,personal narrative,na,all,Spanish,medium,constant,396,no,bora1263
bora1263_T039,doreco_bora1263_llijchu_ine_II1_00-16,JUM,61,certain,f,2005-08-09,certain,traditional narrative,na,all,Spanish,medium,constant,978,no,bora1263
bora1263_T018,doreco_bora1263_mc_bora_meenujkatsi,V,50,certain,f,2004-12-27,certain,traditional narrative,na,all,Spanish,medium,constant,946,no,bora1263
bora1263_T029,doreco_bora1263_niivuwa,ROR,50,certain,f,2005-01-31,certain,traditional narrative,na,all,Spanish,medium,constant,537,no,bora1263
bora1263_T031,doreco_bora1263_ovehe_1,JUM,61,certain,f,2005-07-27,certain,traditional narrative,na,all,Spanish,medium,constant,546,no,bora1263
bora1263_T033,doreco_bora1263_mc_bora_ajyuwa,MM,52,certain,m,2005-08-02,certain,traditional narrative,na,all,Spanish/English,good,punctual,2612,no,bora1263
bora1263_T034,doreco_bora1263_taava_meewa,JUM,61,certain,f,2005-02-09,certain,traditional narrative,na,all,Spanish,medium,punctual,1034,no,bora1263
bora1263_T038,doreco_bora1263_warEhko_mEE,CAP,60,certain,m,2005-08-12,certain,traditional narrative,na,all,Spanish,bad,constant,1177,no,bora1263
bora1263_T002,doreco_bora1263_aakityeJP1,JP,63,certain,m,2008-03-19,certain,personal narrative,na,all,Spanish,medium,constant,205,no,bora1263
bora1263_T004,doreco_bora1263_ajpakyo_hist,AP,45,approximate,m,2005-07-30,certain,traditional narrative,na,all,Spanish,medium,constant,205,yes,bora1263
bora1263_T005,doreco_bora1263_booake_idyone,MM,52,certain,m,2005-01-31,certain,traditional narrative,na,all,Spanish,medium,constant,1016,yes,bora1263
bora1263_T006,doreco_bora1263_bora_inf_2,JUM/JP/AM,61/61/30,certain/certain/approximate,f/m/m,2005-07-25,certain,conversation,na,all,Spanish,bad,constant,194,yes,bora1263
bora1263_T007,doreco_bora1263_cahu_1,JUM/LIR/JP,61/30/61,certain/approximate/certain,f/m/m,2005-02-09,certain,conversation,na,all,Spanish,bad,constant,31,yes,bora1263
bora1263_T008,doreco_bora1263_cahu_2,FEB/ARR/OLO/JUM,30/50/40/61,approximate/approximate/approximate/certain,na/na/na/f,2005-02-09,certain,conversation,na,all,Spanish,bad,constant,96,yes,bora1263
bora1263_T009,doreco_bora1263_cntres_10_Bora,RA,52,certain,f,2005-07-19,certain,traditional narrative,na,all,Spanish,medium,constant,347,yes,bora1263
bora1263_T010,doreco_bora1263_dahpe_VR,VIR,55,approximate,m,2006-08-05,certain,procedural,na,all,Spanish,bad,constant,129,yes,bora1263
bora1263_T011,doreco_bora1263_fb_6,MM/RR,52/55,certain/approximate,m/m,2005-02-06,certain,conversation,na,all,Spanish/English,medium,constant,246,yes,bora1263
bora1263_T012,doreco_bora1263_ijtyahooja_1,MAM/JP/MM/ALF/ELP/LIR/LBP/HIC,40/61/52/30/25/30/50/50,approximate/certain/certain/approximate/approximate/approximate/approximate/approximate,f/m/m/m/m/m/f/f,2005-08-05,certain,conversation,na,all,Spanish,bad,constant,542,yes,bora1263
bora1263_T013,doreco_bora1263_inf_josrobetc3,JP/RO,60/75,certain/na,m/m,2004-12-30,certain,conversation,na,all,Spanish,bad,constant,192,yes,bora1263
bora1263_T014,doreco_bora1263_llijchu_ine_I,MM,52,certain,m,2005-08-08,certain,traditional narrative,na,all,Spanish,medium,constant,2562,yes,bora1263
bora1263_T039,doreco_bora1263_llijchu_ine_II1_16-END,JUM,61,certain,f,2005-08-09,certain,traditional narrative,na,all,Spanish,medium,constant,4327,yes,bora1263
bora1263_T016,doreco_bora1263_lluuhii,AC,55,approximate,m,2006-09-11,certain,traditional narrative,na,all,Spanish,medium,constant,1248,yes,bora1263
bora1263_T017,doreco_bora1263_maloca_renov,MM,52,certain,m,2005-07-25,certain,personal narrative,na,all,Spanish,medium,constant,712,yes,bora1263
bora1263_T019,doreco_bora1263_mEEva_llij,MM,52,certain,m,2005-01-26,certain,traditional narrative,na,all,Spanish,medium,constant,737,yes,bora1263
bora1263_T020,doreco_bora1263_mEEva_ran,MM,52,certain,m,2005-01-31,certain,traditional narrative,na,all,Spanish,medium,constant,310,yes,bora1263
bora1263_T021,doreco_bora1263_mEEvaAurel06,AC,55,approximate,m,2006-09-11,certain,traditional narrative,na,all,Spanish,medium,constant,743,yes,bora1263
bora1263_T022,doreco_bora1263_mEEvaMM06_5,MM,53,certain,m,2006-08-19,certain,traditional narrative,na,all,Spanish,medium,constant,685,yes,bora1263
bora1263_T023,doreco_bora1263_minga_2,ESI/JP/JUN/OL/MM/JR/SV/ES/AL/CAV/GPE/MVP/LUR/INE/YOS,45/60/40/50/52/61/40/50/30/30/50/40/40/30/40,approximate/certain/approximate/approximate/certain/certain/approximate/approximate/approximate/approximate/approximate/approximate/approximate/approximate/approximate,m/m/m/m/m/m/f/m/m/m/f/m/m/m/f,2004-12-18,certain,conversation,na,all,Spanish,bad,constant,192,yes,bora1263
bora1263_T024,doreco_bora1263_minga_7,JUM/JUN/GPE/OL/AF/CP/JP/ES,61/40/50/50/30/30/61/40,certain/ approximate/ approximate/ approximate/ approximate/ approximate/certain/ approximate,f/m/f/m/f/m/m/m,2004-12-18,certain,conversation,na,all,Spanish,bad,constant,108,yes,bora1263
bora1263_T025,doreco_bora1263_minga_8,MM/JN/JP/ES/ALF/DRS/OL,52/40/60/45/30/20/50,certain/approximate/certain/ approximate/ approximate/ approximate/ approximate,m/m/m/m/m/m/m,2004-12-18,certain,conversation,na,all,Spanish,bad,constant,162,yes,bora1263
bora1263_T026,doreco_bora1263_namedi_lluuva,MM,52,certain,m,2005-01-23,certain,traditional narrative,na,all,Spanish,medium,constant,695,yes,bora1263
bora1263_T028,doreco_bora1263_nEjke_kuriota,AP,45,approximate,m,2005-07-30,certain,traditional narrative,na,all,Spanish,medium,constant,2093,yes,bora1263
bora1263_T030,doreco_bora1263_niivuwajE,AC,55,certain,m,2005-07-27,certain,traditional narrative,na,all,Spanish,medium,constant,574,yes,bora1263
bora1263_T032,doreco_bora1263_peetsocouuba,AC,55,certain,m,2006-09-11,certain,traditional narrative,na,all,Spanish,medium,constant,333,yes,bora1263
